Source,Target,Weight,Year,Type
gulf of alaska,water masse,0.36633663366336633,1957,Undirected
bottom sediment,foxe basin,0.37623762376237624,1958,Undirected
bacillus thuringiensis berliner,thuringiensis berliner,0.37623762376237624,1958,Undirected
agricultural crop,solitary bee,0.37623762376237624,1958,Undirected
insect resistance,resistant variety,0.37623762376237624,1958,Undirected
eastern pacific ocean,gulf of alaska,0.38613861386138615,1959,Undirected
heliothis armigera,trap crop,0.38613861386138615,1959,Undirected
crop sequence,heliothis armigera,0.38613861386138615,1959,Undirected
crop sequence,trap crop,0.38613861386138615,1959,Undirected
open ocean water,sea water,0.38613861386138615,1959,Undirected
northeast pacific ocean,variation of salinity,0.39603960396039606,1960,Undirected
northeast pacific ocean,ocean weather station,0.39603960396039606,1960,Undirected
northeast pacific ocean,pacific ocean,0.39603960396039606,1960,Undirected
soil type,volcanic ash soil,0.39603960396039606,1960,Undirected
ocean weather station,variation of salinity,0.39603960396039606,1960,Undirected
pacific ocean,variation of salinity,0.39603960396039606,1960,Undirected
ocean weather station,pacific ocean,0.39603960396039606,1960,Undirected
celtic sea,coastal water,0.40594059405940597,1961,Undirected
plant pest,systemic insecticide,0.40594059405940597,1961,Undirected
oceanic water,surface water temperature,0.40594059405940597,1961,Undirected
northeast pacific ocean,upper zone,0.40594059405940597,1961,Undirected
oceanic water,water temperature,0.40594059405940597,1961,Undirected
coastal water,water masse,0.40594059405940597,1961,Undirected
ocean weather station,upper zone,0.40594059405940597,1961,Undirected
deep water,upper zone,0.40594059405940597,1961,Undirected
celtic sea,water masse,0.40594059405940597,1961,Undirected
british columbia,water temperature,0.40594059405940597,1961,Undirected
british columbia,oceanic water,0.40594059405940597,1961,Undirected
upper zone,variation of salinity,0.40594059405940597,1961,Undirected
british columbia,surface water temperature,0.40594059405940597,1961,Undirected
strait of georgia,upper zone,0.40594059405940597,1961,Undirected
fuca strait,upper zone,0.40594059405940597,1961,Undirected
foxe basin,ice cover,0.4158415841584158,1962,Undirected
dry season,important cereal crop,0.4158415841584158,1962,Undirected
breed population,breeding range,0.4158415841584158,1962,Undirected
dry season,stem borer,0.4158415841584158,1962,Undirected
important cereal crop,stem borer,0.4158415841584158,1962,Undirected
crop residue,important cereal crop,0.4158415841584158,1962,Undirected
crop residue,stem borer,0.4158415841584158,1962,Undirected
crop residue,dry season,0.4158415841584158,1962,Undirected
number of crop,same crop,0.4158415841584158,1962,Undirected
north atlantic,north sea,0.42574257425742573,1963,Undirected
pacific ocean,upper zone,0.42574257425742573,1963,Undirected
coastal water,english channel,0.42574257425742573,1963,Undirected
feeding habit,specie of ant,0.42574257425742573,1963,Undirected
pacific ocean,sea of okhotsk,0.42574257425742573,1963,Undirected
synthetic organic insecticide,systemic insecticide,0.42574257425742573,1963,Undirected
british columbia,west coast,0.42574257425742573,1963,Undirected
coastal water,water body,0.42574257425742573,1963,Undirected
bird of prey,small insect,0.42574257425742573,1963,Undirected
coastal water,north sea,0.42574257425742573,1963,Undirected
british columbia,vancouver island,0.42574257425742573,1963,Undirected
coastal water,north atlantic,0.42574257425742573,1963,Undirected
north sea,water body,0.42574257425742573,1963,Undirected
egg masse,egg parasite,0.42574257425742573,1963,Undirected
long term change,north atlantic,0.42574257425742573,1963,Undirected
long term change,water body,0.42574257425742573,1963,Undirected
north atlantic,water body,0.42574257425742573,1963,Undirected
coastal water,long term change,0.42574257425742573,1963,Undirected
long term change,north sea,0.42574257425742573,1963,Undirected
sea of okhotsk,upper zone,0.42574257425742573,1963,Undirected
english channel,north atlantic,0.42574257425742573,1963,Undirected
english channel,water body,0.42574257425742573,1963,Undirected
english channel,long term change,0.42574257425742573,1963,Undirected
major pest,same crop,0.43564356435643564,1964,Undirected
cotton pest,same crop,0.43564356435643564,1964,Undirected
north pacific ocean,pacific ocean,0.43564356435643564,1964,Undirected
british columbia,sea water,0.43564356435643564,1964,Undirected
eastern indian ocean,western indian ocean,0.43564356435643564,1964,Undirected
eastern indian ocean,indian ocean,0.43564356435643564,1964,Undirected
cotton pest,major pest,0.43564356435643564,1964,Undirected
indian ocean,western indian ocean,0.43564356435643564,1964,Undirected
forest insect pest,southeastern united states,0.44554455445544555,1965,Undirected
arctic ocean,surface water,0.44554455445544555,1965,Undirected
chemical control,forest pest,0.44554455445544555,1965,Undirected
grain sorghum,nuclear polyhedrosis virus,0.44554455445544555,1965,Undirected
field population,grain sorghum,0.44554455445544555,1965,Undirected
field population,nuclear polyhedrosis virus,0.44554455445544555,1965,Undirected
central arctic ocean,surface water,0.44554455445544555,1965,Undirected
auditory stimulus,visual stimulus,0.44554455445544555,1965,Undirected
arctic ocean,central arctic ocean,0.44554455445544555,1965,Undirected
heliothis armigera,natural control,0.44554455445544555,1965,Undirected
adult insect,insect larvae,0.45544554455445546,1966,Undirected
oriental fruit moth,peach orchard,0.45544554455445546,1966,Undirected
adult insect,forest insects,0.45544554455445546,1966,Undirected
forest insects,insect larvae,0.45544554455445546,1966,Undirected
first instar larvae,numerous insect pest,0.45544554455445546,1966,Undirected
british columbia,pacific ocean,0.45544554455445546,1966,Undirected
freshwater,pacific ocean,0.45544554455445546,1966,Undirected
british columbia,northeast pacific ocean,0.45544554455445546,1966,Undirected
british columbia,freshwater,0.45544554455445546,1966,Undirected
freshwater,northeast pacific ocean,0.45544554455445546,1966,Undirected
chemical control,important forest pest,0.46534653465346537,1967,Undirected
chemical control,serious pest,0.46534653465346537,1967,Undirected
population density,volcanic ash soil,0.46534653465346537,1967,Undirected
important forest pest,serious pest,0.46534653465346537,1967,Undirected
british columbia coast,deep water,0.46534653465346537,1967,Undirected
different soil type,volcanic ash soil,0.46534653465346537,1967,Undirected
continental shelf,deep water,0.46534653465346537,1967,Undirected
forest pest,serious pest,0.46534653465346537,1967,Undirected
continental shelf,upper zone,0.46534653465346537,1967,Undirected
forest pest,important forest pest,0.46534653465346537,1967,Undirected
british columbia coast,upper zone,0.46534653465346537,1967,Undirected
british columbia coast,continental shelf,0.46534653465346537,1967,Undirected
different soil type,population density,0.46534653465346537,1967,Undirected
predatory insects,thuringiensis berliner,0.4752475247524752,1968,Undirected
potato plant,volcanic ash soil,0.4752475247524752,1968,Undirected
high yield,potato plant,0.4752475247524752,1968,Undirected
high yield,volcanic ash soil,0.4752475247524752,1968,Undirected
eastern north pacific ocean,north pacific ocean,0.4752475247524752,1968,Undirected
corn rootworm larvae,western corn rootworm larvae,0.4752475247524752,1968,Undirected
cell death,post embryonic development,0.4752475247524752,1968,Undirected
continental shelf,gulf of maine,0.4752475247524752,1968,Undirected
bacillus thuringiensis berliner,control of insect,0.4752475247524752,1968,Undirected
control of insect,number of insect,0.4752475247524752,1968,Undirected
st lawrence estuary,st lawrence river,0.4752475247524752,1968,Undirected
bacillus thuringiensis berliner,predatory insects,0.4752475247524752,1968,Undirected
bacillus thuringiensis berliner,number of insect,0.4752475247524752,1968,Undirected
north atlantic,surface water temperature,0.4752475247524752,1968,Undirected
hypopharyngeal glands,worker honey bees,0.48514851485148514,1969,Undirected
gulf of maine,surface water temperature,0.48514851485148514,1969,Undirected
polyhedrosis virus,tent caterpillar,0.48514851485148514,1969,Undirected
application of insecticide,crop loss,0.48514851485148514,1969,Undirected
forest tent caterpillar,nuclear polyhedrosis virus,0.48514851485148514,1969,Undirected
seasonal change,southern british columbia,0.48514851485148514,1969,Undirected
seasonal abundance,species diversity,0.48514851485148514,1969,Undirected
crop loss,insect attack,0.48514851485148514,1969,Undirected
crop loss,pest damage,0.48514851485148514,1969,Undirected
aphid population,specie of aphids,0.48514851485148514,1969,Undirected
application of insecticide,insect attack,0.48514851485148514,1969,Undirected
application of insecticide,pest damage,0.48514851485148514,1969,Undirected
insect attack,pest damage,0.48514851485148514,1969,Undirected
forest tent caterpillar,polyhedrosis virus,0.48514851485148514,1969,Undirected
diamondback moth,insect population,0.48514851485148514,1969,Undirected
invasive insect,non native specie,0.48514851485148514,1969,Undirected
nuclear polyhedrosis virus,tent caterpillar,0.48514851485148514,1969,Undirected
nuclear polyhedrosis virus,polyhedrosis virus,0.48514851485148514,1969,Undirected
of chemical,pest control strategy,0.48514851485148514,1969,Undirected
annual crop,pest control agent,0.49504950495049505,1970,Undirected
annual crop,crop insect,0.49504950495049505,1970,Undirected
great wax moth,nuclear polyhedrosis virus,0.49504950495049505,1970,Undirected
diversity index,taxonomic diversity,0.49504950495049505,1970,Undirected
leaf curl virus,yellow leaf curl virus,0.49504950495049505,1970,Undirected
mosquito population,natural population,0.49504950495049505,1970,Undirected
malaria mosquito,natural population,0.49504950495049505,1970,Undirected
crop insect,pest control agent,0.49504950495049505,1970,Undirected
breed season,british columbia,0.49504950495049505,1970,Undirected
malaria mosquito,mosquito population,0.49504950495049505,1970,Undirected
arterial blood pressure,plasma renin activity,0.504950495049505,1971,Undirected
different soil type,plant parasitic nematode specie,0.504950495049505,1971,Undirected
lake area,lake surface area,0.504950495049505,1971,Undirected
lake area,lake sediment,0.504950495049505,1971,Undirected
plant taxon,pollination mechanism,0.504950495049505,1971,Undirected
different soil type,soil type,0.504950495049505,1971,Undirected
plant parasitic nematode specie,soil type,0.504950495049505,1971,Undirected
plant parasitic nematode specie,population density,0.504950495049505,1971,Undirected
pine plantation,red pine plantation,0.504950495049505,1971,Undirected
population density,soil type,0.504950495049505,1971,Undirected
experimental lakes area,lake area,0.504950495049505,1971,Undirected
organic matter,soil property,0.504950495049505,1971,Undirected
deep soil layer,soil layer,0.504950495049505,1971,Undirected
experimental lakes area,lake sediment,0.504950495049505,1971,Undirected
experimental lakes area,lake surface area,0.504950495049505,1971,Undirected
caste determination,larval food,0.504950495049505,1971,Undirected
field experiment,maize variety,0.504950495049505,1971,Undirected
insect pest control,major agricultural pest,0.5148514851485149,1972,Undirected
insect predator,of insect,0.5148514851485149,1972,Undirected
insect parasite,of insect,0.5148514851485149,1972,Undirected
insect predator,pest problem,0.5148514851485149,1972,Undirected
tomato yellow leaf curl virus,yellow leaf curl virus,0.5148514851485149,1972,Undirected
insect parasite,pest problem,0.5148514851485149,1972,Undirected
insect parasite,pest management system,0.5148514851485149,1972,Undirected
insect pest control,pest management system,0.5148514851485149,1972,Undirected
insect pest control,insect predator,0.5148514851485149,1972,Undirected
insect predator,major agricultural pest,0.5148514851485149,1972,Undirected
insect parasite,major agricultural pest,0.5148514851485149,1972,Undirected
insect predator,pest management system,0.5148514851485149,1972,Undirected
insect pest control,pest problem,0.5148514851485149,1972,Undirected
insect parasite,insect predator,0.5148514851485149,1972,Undirected
major agricultural pest,pest management system,0.5148514851485149,1972,Undirected
organic matter content,soil organic matter,0.5148514851485149,1972,Undirected
honey bee visitation,pollen source,0.5148514851485149,1972,Undirected
major agricultural pest,of insect,0.5148514851485149,1972,Undirected
moth population,natural control,0.5148514851485149,1972,Undirected
corn borer,european corn borer,0.5148514851485149,1972,Undirected
of insecticide,pest control strategy,0.5148514851485149,1972,Undirected
corn borer,host plant resistance,0.5148514851485149,1972,Undirected
host plant resistance,specie of lepidoptera,0.5148514851485149,1972,Undirected
european corn borer,specie of lepidoptera,0.5148514851485149,1972,Undirected
european corn borer,host plant resistance,0.5148514851485149,1972,Undirected
insect pest control,of insect,0.5148514851485149,1972,Undirected
resistant variety,source of resistance,0.5148514851485149,1972,Undirected
pest management system,pest problem,0.5148514851485149,1972,Undirected
corn borer,specie of lepidoptera,0.5148514851485149,1972,Undirected
organic matter,soil organic matter,0.5148514851485149,1972,Undirected
major agricultural pest,pest problem,0.5148514851485149,1972,Undirected
of insect,pest management system,0.5148514851485149,1972,Undirected
of insect,pest problem,0.5148514851485149,1972,Undirected
blood parasite,specie of leucocytozoon,0.5148514851485149,1972,Undirected
habitat preference,habitat selection,0.5148514851485149,1972,Undirected
population of insect,resistant variety,0.5148514851485149,1972,Undirected
population of insect,source of resistance,0.5148514851485149,1972,Undirected
insect parasite,insect pest control,0.5148514851485149,1972,Undirected
nuclear polyhedrosis virus,soil sample,0.5148514851485149,1972,Undirected
organic matter,organic matter content,0.5148514851485149,1972,Undirected
midgut cells,peritrophic membrane,0.5247524752475248,1973,Undirected
dry season,specie of insect,0.5247524752475248,1973,Undirected
dry season,number of specie,0.5247524752475248,1973,Undirected
lake michigan,primary production,0.5247524752475248,1973,Undirected
number of specie,specie of insect,0.5247524752475248,1973,Undirected
bombyx mori,lepidopterous insect,0.5247524752475248,1973,Undirected
bombyx mori,nuclear polyhedrosis virus,0.5247524752475248,1973,Undirected
agricultural insect pest,physiological process,0.5247524752475248,1973,Undirected
sea urchin embryos,urchin embryos,0.5247524752475248,1973,Undirected
lepidopterous insect,nuclear polyhedrosis virus,0.5247524752475248,1973,Undirected
petroleum residue,st lawrence,0.5247524752475248,1973,Undirected
flower color,white flower,0.5247524752475248,1973,Undirected
bee larvae,honey bee larvae,0.5346534653465347,1974,Undirected
lake erie,surface water,0.5346534653465347,1974,Undirected
lake erie,water body,0.5346534653465347,1974,Undirected
benthic invertebrates,prey species,0.5346534653465347,1974,Undirected
honeybee population,seed production,0.5346534653465347,1974,Undirected
surface water,water body,0.5346534653465347,1974,Undirected
benthic community,benthic invertebrates,0.5346534653465347,1974,Undirected
natural biological control,trichoplusia ni,0.5346534653465347,1974,Undirected
host tree,insect predator,0.5346534653465347,1974,Undirected
benthic community,prey species,0.5346534653465347,1974,Undirected
disease of insect,microbial insecticide,0.5445544554455446,1975,Undirected
british columbia,southern british columbia,0.5445544554455446,1975,Undirected
british columbia,coastal water,0.5445544554455446,1975,Undirected
nematode trap fungus,soil sample,0.5445544554455446,1975,Undirected
insect population,pest control strategy,0.5445544554455446,1975,Undirected
coastal water,southern british columbia,0.5445544554455446,1975,Undirected
great wax moth,male germ cell,0.5445544554455446,1975,Undirected
growth stage,tree specie,0.5445544554455446,1975,Undirected
growth stage,meloidogyne incognita,0.5445544554455446,1975,Undirected
nematode trap fungus,soil nematode,0.5445544554455446,1975,Undirected
ocean weather station,sea surface temperature,0.5445544554455446,1975,Undirected
meloidogyne spp,sandy loam soil,0.5445544554455446,1975,Undirected
specie of bat,terrestrial mammal,0.5445544554455446,1975,Undirected
meloidogyne incognita,tree specie,0.5445544554455446,1975,Undirected
gene duplication,vertebrate evolution,0.5445544554455446,1975,Undirected
body size variation,size variation,0.5445544554455446,1975,Undirected
alternative control strategy,pest control strategy,0.5445544554455446,1975,Undirected
forest tree specie,meloidogyne incognita,0.5445544554455446,1975,Undirected
forest tree specie,growth stage,0.5445544554455446,1975,Undirected
alternative control strategy,insect population,0.5445544554455446,1975,Undirected
soil insect,water potential,0.5445544554455446,1975,Undirected
soil nematode,soil sample,0.5445544554455446,1975,Undirected
forest tree specie,tree specie,0.5445544554455446,1975,Undirected
male germ cell,nuclear polyhedrosis virus,0.5445544554455446,1975,Undirected
spider mite population,wild plant,0.5445544554455446,1975,Undirected
secondary pest,target pest,0.5544554455445545,1976,Undirected
organic carbon concentration,st lawrence,0.5544554455445545,1976,Undirected
organic carbon concentration,organic matter,0.5544554455445545,1976,Undirected
abundance of invertebrates,food resource,0.5544554455445545,1976,Undirected
organic matter,st lawrence,0.5544554455445545,1976,Undirected
lake erie,sediment water interface,0.5544554455445545,1976,Undirected
lord howe island,new zealand,0.5544554455445545,1976,Undirected
scotian shelf,st lawrence,0.5544554455445545,1976,Undirected
atlantic ocean,western north atlantic ocean,0.5544554455445545,1976,Undirected
atlantic ocean,north atlantic ocean,0.5544554455445545,1976,Undirected
approximate digestibility,efficiency of conversion,0.5544554455445545,1976,Undirected
north atlantic,petroleum residue,0.5544554455445545,1976,Undirected
gulf of maine,st lawrence,0.5544554455445545,1976,Undirected
gulf of maine,scotian shelf,0.5544554455445545,1976,Undirected
lake erie,western basin,0.5544554455445545,1976,Undirected
electron microscopy,transmission electron microscopy,0.5544554455445545,1976,Undirected
small effective population size,speciation rate,0.5643564356435643,1977,Undirected
juvenile development,larval growth,0.5643564356435643,1977,Undirected
filter feed larvae,juvenile development,0.5643564356435643,1977,Undirected
filter feed larvae,larval growth,0.5643564356435643,1977,Undirected
nematode population,nematode population density,0.5643564356435643,1977,Undirected
fruit production,pratylenchus penetrans,0.5643564356435643,1977,Undirected
nematode population,soil moisture,0.5643564356435643,1977,Undirected
pine forest,red pine forest,0.5643564356435643,1977,Undirected
fruit production,nematode population,0.5643564356435643,1977,Undirected
nematode population,population density,0.5643564356435643,1977,Undirected
lake michigan,water column,0.5643564356435643,1977,Undirected
sediment core,water column,0.5643564356435643,1977,Undirected
mascarene islands,specie of leucocytozoon,0.5643564356435643,1977,Undirected
freshwater,freshwater fish,0.5643564356435643,1977,Undirected
nematode population,pratylenchus penetrans,0.5643564356435643,1977,Undirected
native plant,specie of bird,0.5643564356435643,1977,Undirected
blood parasite,mascarene islands,0.5643564356435643,1977,Undirected
nematode population density,soil moisture,0.5643564356435643,1977,Undirected
rate of speciation,small effective population size,0.5643564356435643,1977,Undirected
rate of speciation,speciation rate,0.5643564356435643,1977,Undirected
coho salmon,freshwater,0.5643564356435643,1977,Undirected
nematode population density,population density,0.5643564356435643,1977,Undirected
american specie,north american specie,0.5643564356435643,1977,Undirected
coho salmon,freshwater fish,0.5643564356435643,1977,Undirected
lake michigan,sediment core,0.5643564356435643,1977,Undirected
population density,soil moisture,0.5643564356435643,1977,Undirected
great barrier reef,lizard island,0.5742574257425742,1978,Undirected
nectar production,tent caterpillar,0.5742574257425742,1978,Undirected
forest insect pest,management strategy,0.5742574257425742,1978,Undirected
flea beetle,phyllotreta cruciferae,0.5742574257425742,1978,Undirected
petroleum hydrocarbon,sediment core,0.5742574257425742,1978,Undirected
crucifer flea beetle,phyllotreta cruciferae,0.5742574257425742,1978,Undirected
crucifer flea beetle,flea beetle,0.5742574257425742,1978,Undirected
petroleum hydrocarbon,petroleum residue,0.5742574257425742,1978,Undirected
phenotypic variation,speciation rate,0.5742574257425742,1978,Undirected
domestic animal,specie of insect,0.5742574257425742,1978,Undirected
coho salmon,sockeye salmon,0.5742574257425742,1978,Undirected
bacterial kidney disease,coho salmon,0.5742574257425742,1978,Undirected
fire ant,management strategy,0.5742574257425742,1978,Undirected
bacterial kidney disease,sockeye salmon,0.5742574257425742,1978,Undirected
barrier reef,great barrier reef,0.5742574257425742,1978,Undirected
barrier reef,lizard island,0.5742574257425742,1978,Undirected
fire ant,forest insect pest,0.5742574257425742,1978,Undirected
feeding habit,large mammal,0.5742574257425742,1978,Undirected
ant predation,tent caterpillar,0.5742574257425742,1978,Undirected
ant predation,nectar production,0.5742574257425742,1978,Undirected
organic matter,st lawrence estuary,0.5841584158415841,1979,Undirected
organic carbon,particulate organic matter,0.5841584158415841,1979,Undirected
organic carbon,organic matter,0.5841584158415841,1979,Undirected
organic carbon,sediment water interface,0.5841584158415841,1979,Undirected
organic carbon,surface sediment,0.5841584158415841,1979,Undirected
fire ant,growth regulator,0.5841584158415841,1979,Undirected
fruit production,long distance dispersal,0.5841584158415841,1979,Undirected
organic carbon,st lawrence,0.5841584158415841,1979,Undirected
organic matter,sediment water interface,0.5841584158415841,1979,Undirected
nova scotia,scotian shelf,0.5841584158415841,1979,Undirected
organic matter,particulate organic matter,0.5841584158415841,1979,Undirected
fire ant,insect growth regulator,0.5841584158415841,1979,Undirected
organic carbon,st lawrence estuary,0.5841584158415841,1979,Undirected
organic matter,surface sediment,0.5841584158415841,1979,Undirected
pest damage,selective insecticide,0.5841584158415841,1979,Undirected
particulate organic matter,st lawrence,0.5841584158415841,1979,Undirected
growth regulator,insect growth regulator,0.5841584158415841,1979,Undirected
control programs,pest damage,0.5841584158415841,1979,Undirected
control programs,selective insecticide,0.5841584158415841,1979,Undirected
carabid beetles,cover crop,0.5841584158415841,1979,Undirected
pollen vector,pollination biology,0.5841584158415841,1979,Undirected
bee species richness,tropical forest,0.5841584158415841,1979,Undirected
aquatic animals,red sea bream,0.5841584158415841,1979,Undirected
feeding habit,immature insect,0.5841584158415841,1979,Undirected
feeding habit,rare specie,0.5841584158415841,1979,Undirected
apple orchard,selective insecticide,0.5841584158415841,1979,Undirected
apple orchard,pest damage,0.5841584158415841,1979,Undirected
apple orchard,control programs,0.5841584158415841,1979,Undirected
apple orchard,cover crop,0.5841584158415841,1979,Undirected
isotope ratio,surface sediment,0.5841584158415841,1979,Undirected
apple orchard,carabid beetles,0.5841584158415841,1979,Undirected
isotope ratio,sediment water interface,0.5841584158415841,1979,Undirected
isotope ratio,particulate organic matter,0.5841584158415841,1979,Undirected
particulate organic matter,st lawrence estuary,0.5841584158415841,1979,Undirected
particulate organic matter,sediment water interface,0.5841584158415841,1979,Undirected
particulate organic matter,surface sediment,0.5841584158415841,1979,Undirected
archaeological excavation,archaeological site,0.5841584158415841,1979,Undirected
bacillus thuringiensis subsp,thuringiensis subsp,0.5841584158415841,1979,Undirected
feral sheep,population trend,0.5841584158415841,1979,Undirected
immature insect,rare specie,0.5841584158415841,1979,Undirected
bee diversity,bee species richness,0.5841584158415841,1979,Undirected
isotope ratio,st lawrence,0.5841584158415841,1979,Undirected
isotope ratio,st lawrence estuary,0.5841584158415841,1979,Undirected
isotope ratio,organic carbon,0.5841584158415841,1979,Undirected
lawrence estuary,organic matter,0.5841584158415841,1979,Undirected
lawrence estuary,st lawrence estuary,0.5841584158415841,1979,Undirected
isotope ratio,organic matter,0.5841584158415841,1979,Undirected
bee diversity,tropical forest,0.5841584158415841,1979,Undirected
sediment water interface,st lawrence,0.5841584158415841,1979,Undirected
st lawrence,st lawrence estuary,0.5841584158415841,1979,Undirected
sediment water interface,surface sediment,0.5841584158415841,1979,Undirected
sediment water interface,st lawrence estuary,0.5841584158415841,1979,Undirected
st lawrence estuary,surface sediment,0.5841584158415841,1979,Undirected
st lawrence,surface sediment,0.5841584158415841,1979,Undirected
floral nectar,nectar production,0.5841584158415841,1979,Undirected
south atlantic ocean,western south atlantic ocean,0.5841584158415841,1979,Undirected
bird pollinate flower,insect pollinate flower,0.5841584158415841,1979,Undirected
animal pollinate plant,bee diversity,0.5841584158415841,1979,Undirected
animal pollinate plant,bee species richness,0.5841584158415841,1979,Undirected
animal pollinate plant,tropical forest,0.5841584158415841,1979,Undirected
marine mammal,terrestrial mammal,0.594059405940594,1980,Undirected
dissolve organic carbon,dissolve organic matter,0.594059405940594,1980,Undirected
africanized honeybee,stingless bee,0.594059405940594,1980,Undirected
dissolve organic carbon,organic matter,0.594059405940594,1980,Undirected
pest management system,synthetic organic insecticide,0.594059405940594,1980,Undirected
dissolve organic matter,organic matter,0.594059405940594,1980,Undirected
host specific insect,phytophagous insect fauna,0.594059405940594,1980,Undirected
pore water,water depth,0.594059405940594,1980,Undirected
ant nest,larvae feed,0.594059405940594,1980,Undirected
effective pollinator,floral biology,0.594059405940594,1980,Undirected
multiple cropping system,root knot nematode,0.594059405940594,1980,Undirected
